x,y,live_count,dead_count,pipo_count,non_pipo_count,pipo_ba,non_pipo_ba,site,forest,elev,rep,crs
-65808.79335750431,98048.4138665805,27,1,4,23,0.5583583764782102,3.639549894421375,eldo_3k_1,eldo,3k,1,3310
-65788.79335750431,98048.4138665805,26,4,14,12,2.3949321719305856,2.372574450602973,eldo_3k_1,eldo,3k,1,3310
-65768.79335750431,98048.4138665805,24,4,15,9,2.552839523082679,1.7292796484215507,eldo_3k_1,eldo,3k,1,3310
-65748.79335750431,98048.4138665805,17,0,10,7,1.9274593668548203,2.4242451623340524,eldo_3k_1,eldo,3k,1,3310
-66268.79335750431,98028.4138665805,6,12,1,5,0.9833322579416515,0.5304384276523733,eldo_3k_1,eldo,3k,1,3310
-66248.79335750431,98028.4138665805,4,5,4,0,0.24791636648286697,0,eldo_3k_1,eldo,3k,1,3310
-66228.79335750431,98028.4138665805,3,10,0,3,0.3296044153423358,0.3261207752371221,eldo_3k_1,eldo,3k,1,3310
-66208.79335750431,98028.4138665805,7,8,6,1,1.2884035732142085,0.04443513227477426,eldo_3k_1,eldo,3k,1,3310
-66188.79335750431,98028.4138665805,14,7,7,7,1.5140390387442162,1.0617150812565566,eldo_3k_1,eldo,3k,1,3310
-66168.79335750431,98028.4138665805,7,21,4,3,2.1576494703811115,0.5144277260424894,eldo_3k_1,eldo,3k,1,3310
-66148.79335750431,98028.4138665805,24,0,13,11,1.0096632882343386,1.4064061715859308,eldo_3k_1,eldo,3k,1,3310
-66128.79335750431,98028.4138665805,31,0,15,16,2.130395003099673,3.170983403432468,eldo_3k_1,eldo,3k,1,3310
-66108.79335750431,98028.4138665805,27,1,22,5,4.14881388482438,0.9333045728529117,eldo_3k_1,eldo,3k,1,3310
-66088.79335750431,98028.4138665805,25,0,19,6,4.611463410372983,1.746597600194841,eldo_3k_1,eldo,3k,1,3310
-66068.79335750431,98028.4138665805,35,0,23,12,4.713908270641962,3.237004989079748,eldo_3k_1,eldo,3k,1,3310
-66048.79335750431,98028.4138665805,29,1,13,16,3.0330898763442256,3.733416297304829,eldo_3k_1,eldo,3k,1,3310
-66028.79335750431,98028.4138665805,29,1,13,16,3.4139276547347244,5.113946523879426,eldo_3k_1,eldo,3k,1,3310
-66008.79335750431,98028.4138665805,23,1,11,12,2.448893971051789,2.130287865810653,eldo_3k_1,eldo,3k,1,3310
-65988.79335750431,98028.4138665805,24,0,13,11,2.095690881149644,1.137391340051874,eldo_3k_1,eldo,3k,1,3310
-65968.79335750431,98028.4138665805,30,0,15,15,1.378693735061076,1.6203170510824614,eldo_3k_1,eldo,3k,1,3310
-65948.79335750431,98028.4138665805,24,2,9,15,1.5602411660428144,2.822108943070184,eldo_3k_1,eldo,3k,1,3310
-65928.79335750431,98028.4138665805,29,0,11,18,1.986534179110871,3.9561454965569647,eldo_3k_1,eldo,3k,1,3310
-65908.79335750431,98028.4138665805,25,0,15,10,2.9832769535919983,1.93265761564717,eldo_3k_1,eldo,3k,1,3310
-65888.79335750431,98028.4138665805,28,0,18,10,3.1074581587095627,1.832877551051576,eldo_3k_1,eldo,3k,1,3310
-65868.79335750431,98028.4138665805,19,0,7,12,1.127969797787107,1.4542044775075138,eldo_3k_1,eldo,3k,1,3310
-65848.79335750431,98028.4138665805,22,4,10,12,2.0391951443389855,2.254507901699961,eldo_3k_1,eldo,3k,1,3310
-65828.79335750431,98028.4138665805,24,3,12,12,2.304623361600409,1.9159866797018632,eldo_3k_1,eldo,3k,1,3310
-65808.79335750431,98028.4138665805,29,1,10,19,1.2233344992450799,3.5548899858025043,eldo_3k_1,eldo,3k,1,3310
-65788.79335750431,98028.4138665805,30,0,13,17,1.7693159811116068,3.128986523727365,eldo_3k_1,eldo,3k,1,3310
-65768.79335750431,98028.4138665805,22,1,12,10,1.602380278525542,1.4571174825730977,eldo_3k_1,eldo,3k,1,3310
-65748.79335750431,98028.4138665805,22,0,15,7,1.42788210497189,0.8455755424148917,eldo_3k_1,eldo,3k,1,3310
-66268.79335750431,98008.4138665805,1,13,0,1,0.37906110564936724,0.10702906782866853,eldo_3k_1,eldo,3k,1,3310
-66248.79335750431,98008.4138665805,5,9,5,0,0.36081102236269286,0,eldo_3k_1,eldo,3k,1,3310
