Estimate,Est.Error,lwr0_025,upr0_975,beta
-0.8317632356463784,0.8947991135094938,-2.5948699814927165,0.9253809404636428,zgp_gpxysiteeldo_3k_1[65]
0.39914778665002015,0.8099882242324892,-1.1657345508458874,1.9534091946574865,zgp_gpxysiteeldo_3k_1[66]
0.40926914623763105,0.9158990547414905,-1.4127090036706336,2.183289710681669,zgp_gpxysiteeldo_3k_1[67]
0.766728708075748,0.8431230259524607,-0.8951280928341612,2.399070447225815,zgp_gpxysiteeldo_3k_1[68]
0.667485779964349,0.915692896081398,-1.1228325599441817,2.464129588234344,zgp_gpxysiteeldo_3k_1[69]
0.12551398291929086,0.959966595786086,-1.7482390026399108,2.041367548437865,zgp_gpxysiteeldo_3k_1[70]
0.11638647317543106,0.9346072826107168,-1.739058943700822,1.9273230251450344,zgp_gpxysiteeldo_3k_1[71]
-0.16697068485206332,0.9392695244434334,-1.9848638244301593,1.7064275778251954,zgp_gpxysiteeldo_3k_1[72]
0.06498389223997961,1.0090358928137324,-1.8985121701593994,2.006213227748095,zgp_gpxysiteeldo_3k_1[73]
-0.16512637038312294,0.8589412720353242,-1.8657779574002467,1.5038828725646034,zgp_gpxysiteeldo_3k_1[74]
0.3347148982968565,0.9368537027001087,-1.5240619420261743,2.185037337663046,zgp_gpxysiteeldo_3k_1[75]
-0.25192300464137724,0.9173810771662372,-2.063169463173343,1.5757848613882441,zgp_gpxysiteeldo_3k_1[76]
0.3780057055400736,0.5890443958780612,-0.844695950116882,1.4991627586800085,zgp_gpxysiteeldo_3k_1[77]
-0.75208212586338,0.9617773306662903,-2.674488832714225,1.1416243619228066,zgp_gpxysiteeldo_3k_1[78]
0.2659136593877984,0.8881180282158962,-1.4918344299174733,1.9815942449510302,zgp_gpxysiteeldo_3k_1[79]
0.12347841383232452,0.9805846627672384,-1.827743478455427,2.0569721216870978,zgp_gpxysiteeldo_3k_1[80]
0.05485936208333154,0.9191070122329718,-1.748232528941058,1.8697855026335937,zgp_gpxysiteeldo_3k_1[81]
-0.7218585523182798,0.9662084858670267,-2.6151270698498306,1.1826776265463934,zgp_gpxysiteeldo_3k_1[82]
